ProgrammeCode,StudyYear,AcademicYear,Course,CourseType,CompKey
10011,1.0,2013-2014,1001,elective,PI_10011_1.0_2013-2014_1001
10011,2.0,2013-2014,1001,elective,PI_10011_2.0_2013-2014_1001
10011,1.0,2014-2015,1001,elective,PI_10011_1.0_2014-2015_1001
10011,2.0,2014-2015,1001,elective,PI_10011_2.0_2014-2015_1001
10011,1.0,2015-2016,1001,elective,PI_10011_1.0_2015-2016_1001
10011,2.0,2015-2016,1001,elective,PI_10011_2.0_2015-2016_1001
10011,1.0,2016-2017,1001,elective,PI_10011_1.0_2016-2017_1001
10011,2.0,2016-2017,1001,elective,PI_10011_2.0_2016-2017_1001
10011,1.0,2017-2018,1001,elective,PI_10011_1.0_2017-2018_1001
10011,2.0,2017-2018,1001,elective,PI_10011_2.0_2017-2018_1001
10011,1.0,2018-2019,1001,elective,PI_10011_1.0_2018-2019_1001
10011,2.0,2018-2019,1001,elective,PI_10011_2.0_2018-2019_1001
10011,1.0,2019-2020,1001,elective,PI_10011_1.0_2019-2020_1001
10011,2.0,2019-2020,1001,elective,PI_10011_2.0_2019-2020_1001
10011,1.0,2020-2021,1001,elective,PI_10011_1.0_2020-2021_1001
10011,2.0,2020-2021,1001,elective,PI_10011_2.0_2020-2021_1001
10011,1.0,2021-2022,1001,elective,PI_10011_1.0_2021-2022_1001
10011,2.0,2021-2022,1001,elective,PI_10011_2.0_2021-2022_1001
10011,1.0,2022-2023,1001,elective,PI_10011_1.0_2022-2023_1001
10011,2.0,2022-2023,1001,elective,PI_10011_2.0_2022-2023_1001
10011,1.0,2023-2024,1001,elective,PI_10011_1.0_2023-2024_1001
10011,2.0,2023-2024,1001,elective,PI_10011_2.0_2023-2024_1001
10011,1.0,2013-2014,1002,elective,PI_10011_1.0_2013-2014_1002
10011,2.0,2013-2014,1002,elective,PI_10011_2.0_2013-2014_1002
10011,1.0,2014-2015,1002,elective,PI_10011_1.0_2014-2015_1002
10011,2.0,2014-2015,1002,elective,PI_10011_2.0_2014-2015_1002
10011,1.0,2015-2016,1002,elective,PI_10011_1.0_2015-2016_1002
10011,2.0,2015-2016,1002,elective,PI_10011_2.0_2015-2016_1002
10011,1.0,2016-2017,1002,elective,PI_10011_1.0_2016-2017_1002
10011,2.0,2016-2017,1002,elective,PI_10011_2.0_2016-2017_1002
10011,1.0,2017-2018,1002,elective,PI_10011_1.0_2017-2018_1002
10011,2.0,2017-2018,1002,elective,PI_10011_2.0_2017-2018_1002
10011,1.0,2018-2019,1002,elective,PI_10011_1.0_2018-2019_1002
10011,2.0,2018-2019,1002,elective,PI_10011_2.0_2018-2019_1002
10011,1.0,2019-2020,1002,elective,PI_10011_1.0_2019-2020_1002
10011,2.0,2019-2020,1002,elective,PI_10011_2.0_2019-2020_1002
10011,1.0,2020-2021,1002,elective,PI_10011_1.0_2020-2021_1002
10011,2.0,2020-2021,1002,elective,PI_10011_2.0_2020-2021_1002
10011,1.0,2021-2022,1002,elective,PI_10011_1.0_2021-2022_1002
10011,2.0,2021-2022,1002,elective,PI_10011_2.0_2021-2022_1002
10011,1.0,2022-2023,1002,elective,PI_10011_1.0_2022-2023_1002
10011,2.0,2022-2023,1002,elective,PI_10011_2.0_2022-2023_1002
10011,1.0,2023-2024,1002,elective,PI_10011_1.0_2023-2024_1002
10011,2.0,2023-2024,1002,elective,PI_10011_2.0_2023-2024_1002
10012,1.0,2018-2019,1003,compulsory,PI_10012_1.0_2018-2019_1003
10013,2.0,2015-2016,1003,compulsory-elective,PI_10013_2.0_2015-2016_1003
10014,1.0,2015-2016,1003,elective,PI_10014_1.0_2015-2016_1003
10014,1.0,2017-2018,1003,elective,PI_10014_1.0_2017-2018_1003
10031,1.0,2023-2024,1003,compulsory-elective,PI_10031_1.0_2023-2024_1003
10031,2.0,2022-2023,1003,compulsory-elective,PI_10031_2.0_2022-2023_1003
10032,1.0,2021-2022,1003,compulsory-elective,PI_10032_1.0_2021-2022_1003
10032,2.0,2016-2017,1003,elective,PI_10032_2.0_2016-2017_1003
10032,3.0,2016-2017,1003,compulsory-elective,PI_10032_3.0_2016-2017_1003
10032,3.0,2022-2023,1003,compulsory-elective,PI_10032_3.0_2022-2023_1003
10051,1.0,2016-2017,1003,elective,PI_10051_1.0_2016-2017_1003
10052,2.0,2015-2016,1003,elective,PI_10052_2.0_2015-2016_1003
10052,2.0,2019-2020,1003,compulsory,PI_10052_2.0_2019-2020_1003
10052,2.0,2020-2021,1003,elective,PI_10052_2.0_2020-2021_1003
10052,2.0,2021-2022,1003,compulsory-elective,PI_10052_2.0_2021-2022_1003
10072,1.0,2023-2024,1003,elective,PI_10072_1.0_2023-2024_1003
10073,3.0,2013-2014,1003,elective,PI_10073_3.0_2013-2014_1003
10074,1.0,2014-2015,1003,elective,PI_10074_1.0_2014-2015_1003
10001,3.0,2023-2024,1004,compulsory-elective,PI_10001_3.0_2023-2024_1004
10011,2.0,2023-2024,1004,elective,PI_10011_2.0_2023-2024_1004
10012,2.0,2019-2020,1004,compulsory-elective,PI_10012_2.0_2019-2020_1004
10012,3.0,2013-2014,1004,compulsory,PI_10012_3.0_2013-2014_1004
10013,3.0,2013-2014,1004,compulsory-elective,PI_10013_3.0_2013-2014_1004
10021,2.0,2023-2024,1004,elective,PI_10021_2.0_2023-2024_1004
10032,3.0,2016-2017,1004,compulsory,PI_10032_3.0_2016-2017_1004
10033,2.0,2022-2023,1004,compulsory-elective,PI_10033_2.0_2022-2023_1004
10041,1.0,2022-2023,1004,compulsory-elective,PI_10041_1.0_2022-2023_1004
10054,3.0,2022-2023,1004,elective,PI_10054_3.0_2022-2023_1004
10061,1.0,2014-2015,1004,elective,PI_10061_1.0_2014-2015_1004
10061,1.0,2018-2019,1004,compulsory,PI_10061_1.0_2018-2019_1004
10061,2.0,2016-2017,1004,compulsory,PI_10061_2.0_2016-2017_1004
10071,3.0,2020-2021,1004,compulsory,PI_10071_3.0_2020-2021_1004
10072,1.0,2013-2014,1004,compulsory,PI_10072_1.0_2013-2014_1004
10072,2.0,2017-2018,1004,elective,PI_10072_2.0_2017-2018_1004
10072,2.0,2019-2020,1004,compulsory-elective,PI_10072_2.0_2019-2020_1004
10073,2.0,2016-2017,1004,compulsory-elective,PI_10073_2.0_2016-2017_1004
10073,2.0,2018-2019,1004,elective,PI_10073_2.0_2018-2019_1004
10073,3.0,2016-2017,1004,compulsory-elective,PI_10073_3.0_2016-2017_1004
10073,3.0,2023-2024,1004,compulsory,PI_10073_3.0_2023-2024_1004
10001,1.0,2022-2023,1005,compulsory-elective,PI_10001_1.0_2022-2023_1005
10012,2.0,2023-2024,1005,compulsory-elective,PI_10012_2.0_2023-2024_1005
10012,3.0,2014-2015,1005,elective,PI_10012_3.0_2014-2015_1005
10013,1.0,2018-2019,1005,elective,PI_10013_1.0_2018-2019_1005
10013,3.0,2022-2023,1005,compulsory-elective,PI_10013_3.0_2022-2023_1005
10014,2.0,2018-2019,1005,elective,PI_10014_2.0_2018-2019_1005
10034,2.0,2023-2024,1005,compulsory,PI_10034_2.0_2023-2024_1005
10041,1.0,2014-2015,1005,compulsory-elective,PI_10041_1.0_2014-2015_1005
10042,1.0,2018-2019,1005,compulsory,PI_10042_1.0_2018-2019_1005
10042,1.0,2019-2020,1005,compulsory-elective,PI_10042_1.0_2019-2020_1005
10042,2.0,2020-2021,1005,compulsory-elective,PI_10042_2.0_2020-2021_1005
10051,2.0,2015-2016,1005,compulsory-elective,PI_10051_2.0_2015-2016_1005
10054,1.0,2016-2017,1005,elective,PI_10054_1.0_2016-2017_1005
10054,2.0,2017-2018,1005,compulsory-elective,PI_10054_2.0_2017-2018_1005
10061,2.0,2021-2022,1005,elective,PI_10061_2.0_2021-2022_1005
10071,2.0,2023-2024,1005,compulsory-elective,PI_10071_2.0_2023-2024_1005
10001,1.0,2017-2018,1006,compulsory,PI_10001_1.0_2017-2018_1006
10001,1.0,2021-2022,1006,elective,PI_10001_1.0_2021-2022_1006
10011,1.0,2018-2019,1006,elective,PI_10011_1.0_2018-2019_1006
10012,1.0,2023-2024,1006,elective,PI_10012_1.0_2023-2024_1006
10012,2.0,2016-2017,1006,compulsory-elective,PI_10012_2.0_2016-2017_1006
10014,2.0,2013-2014,1006,elective,PI_10014_2.0_2013-2014_1006
10014,2.0,2016-2017,1006,elective,PI_10014_2.0_2016-2017_1006
10021,1.0,2017-2018,1006,compulsory,PI_10021_1.0_2017-2018_1006
10021,1.0,2020-2021,1006,elective,PI_10021_1.0_2020-2021_1006
10032,3.0,2014-2015,1006,compulsory-elective,PI_10032_3.0_2014-2015_1006
10041,1.0,2017-2018,1006,elective,PI_10041_1.0_2017-2018_1006
10041,2.0,2016-2017,1006,compulsory,PI_10041_2.0_2016-2017_1006
10041,2.0,2018-2019,1006,compulsory-elective,PI_10041_2.0_2018-2019_1006
10051,1.0,2017-2018,1006,elective,PI_10051_1.0_2017-2018_1006
10051,2.0,2023-2024,1006,compulsory-elective,PI_10051_2.0_2023-2024_1006
10061,1.0,2021-2022,1006,compulsory-elective,PI_10061_1.0_2021-2022_1006
10071,2.0,2019-2020,1006,compulsory-elective,PI_10071_2.0_2019-2020_1006
10074,1.0,2014-2015,1006,compulsory,PI_10074_1.0_2014-2015_1006
10001,1.0,2013-2014,1007,elective,PI_10001_1.0_2013-2014_1007
10001,2.0,2021-2022,1007,elective,PI_10001_2.0_2021-2022_1007
10021,2.0,2022-2023,1007,elective,PI_10021_2.0_2022-2023_1007
10031,1.0,2014-2015,1007,compulsory-elective,PI_10031_1.0_2014-2015_1007
10031,2.0,2019-2020,1007,elective,PI_10031_2.0_2019-2020_1007
10034,1.0,2014-2015,1007,compulsory-elective,PI_10034_1.0_2014-2015_1007
10042,2.0,2014-2015,1007,compulsory-elective,PI_10042_2.0_2014-2015_1007
10051,2.0,2022-2023,1007,elective,PI_10051_2.0_2022-2023_1007
10054,3.0,2019-2020,1007,compulsory,PI_10054_3.0_2019-2020_1007
10061,1.0,2015-2016,1007,compulsory-elective,PI_10061_1.0_2015-2016_1007
10072,1.0,2019-2020,1007,elective,PI_10072_1.0_2019-2020_1007
10073,3.0,2019-2020,1007,compulsory-elective,PI_10073_3.0_2019-2020_1007
10001,2.0,2016-2017,1008,compulsory-elective,PI_10001_2.0_2016-2017_1008
10001,3.0,2015-2016,1008,compulsory-elective,PI_10001_3.0_2015-2016_1008
10012,2.0,2014-2015,1008,compulsory-elective,PI_10012_2.0_2014-2015_1008
10014,1.0,2020-2021,1008,elective,PI_10014_1.0_2020-2021_1008
10031,1.0,2019-2020,1008,elective,PI_10031_1.0_2019-2020_1008
10032,1.0,2018-2019,1008,elective,PI_10032_1.0_2018-2019_1008
10033,1.0,2013-2014,1008,compulsory,PI_10033_1.0_2013-2014_1008
10042,1.0,2016-2017,1008,compulsory-elective,PI_10042_1.0_2016-2017_1008
10042,1.0,2017-2018,1008,compulsory,PI_10042_1.0_2017-2018_1008
10054,1.0,2014-2015,1008,elective,PI_10054_1.0_2014-2015_1008
10061,2.0,2018-2019,1008,elective,PI_10061_2.0_2018-2019_1008
10071,1.0,2020-2021,1008,compulsory-elective,PI_10071_1.0_2020-2021_1008
10072,3.0,2020-2021,1008,elective,PI_10072_3.0_2020-2021_1008
10073,1.0,2013-2014,1008,elective,PI_10073_1.0_2013-2014_1008
10001,1.0,2013-2014,1009,compulsory,PI_10001_1.0_2013-2014_1009
10001,3.0,2015-2016,1009,elective,PI_10001_3.0_2015-2016_1009
10001,3.0,2023-2024,1009,compulsory,PI_10001_3.0_2023-2024_1009
10011,2.0,2014-2015,1009,elective,PI_10011_2.0_2014-2015_1009
10012,1.0,2022-2023,1009,compulsory-elective,PI_10012_1.0_2022-2023_1009
10012,2.0,2019-2020,1009,compulsory,PI_10012_2.0_2019-2020_1009
10012,3.0,2013-2014,1009,elective,PI_10012_3.0_2013-2014_1009
10013,1.0,2019-2020,1009,compulsory,PI_10013_1.0_2019-2020_1009
10014,2.0,2019-2020,1009,compulsory-elective,PI_10014_2.0_2019-2020_1009
10033,1.0,2014-2015,1009,compulsory-elective,PI_10033_1.0_2014-2015_1009
